CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50604,רוברט ורודני מקלחונים,107,ת.ד 22706,NULL,שמחה הולצברג 1,NULL,"ת""א"
50509,הרמוניקה,117,"קק""ל 66/2 חדרה",38306,הנגב 21,איש קשר,חדרה
50616,אלון וישניה בעמ,123,דרך המכבים 46,NULL,"נחמיה תמרי 12, קומה 4, דירה 10",איש קשר,ראשון לציון
50656,יעקב חרש בעמ -קריית גת,131,הבנאי 12,NULL,רח' כסלו 15,מייל הזמנות,חולון
50670,טובול קרמיקה בעמ (תלפיות),113,הבנאי 7 ת.ד. 4070,71706,התעשייה 5,אודליה,מודיעין
50162,הום  סנטר עכו קניון 58,114,טוליפמן 7,NULL,קניון עכו,NULL,ראשון לציון
70014,חינאוי ניקולה 1995 בע,107,יפת 176,NULL,קברניט 12,NULL,יפו
50325,עוז מחסני קרמיקה בית שמש,117,העליה 1,NULL,העליה 1,NULL,בית שמש
50091,אפרסק קרמיקה - אורן,130,דרך המכבים 37,NULL,דרך המכבים 37,"מייל תמ""ש",ראשון לציון
50530,נגב קרמיקה חדרה,113,NULL,NULL,קומבה 10,NULL,NULL
50345,פריד מאיר (אשדוד),103,היצירה 8,NULL,העבודה 9,NULL,רמלה
50671,א.ג. נגרות ובנייה בעמ,123,תל גיבורים 7,NULL,תל גיבורים 7,אנדרה,תל אביב - יפו
50610,יניב קרמיקה בעמ,109,משק 14 ת.ד 14,NULL,משק 14,גיול,כפר טרומן
50675,אלמוג מוביל (לאון לוי ),103,נחמיה 2,NULL,NULL,NULL,ראשון לציון
50692,פורצלנו סחר בעמ,103,אהליאב 3 רוממה,NULL,אהליאב 3 רוממה,מייל גיול,ירושלים
50093,ארוסי מבנים בעמ,117,גזית 5 א.ת סגולה,NULL,גזית 5 א.ת סגולה,NULL,פתח תקווה
50044,מולטי ריטייל גרופ בעמ - אשדוד סניף 44,123,גליס 9 צומת סגולה,NULL,זבוטינסקי 39,מייל לבירור הזמנות,פתח תקווה
50019,אביב כלבו לבנין (1999) בעמ,109,( ת.ד 15226),7705102,האורגים 33,דוח הזמנות,אשדוד
50066,מולטי ריטייל גרופ בעמ - לוד סניף 69,123,גליס 9 צומת סגולה,NULL,צופית 40,מייל בירור הזמנות,פתח תקווה
50018,אבי שרון קרמיקה,109,בן צבי 45,7563344,בן צבי 45,הזמנה לא תקינה,ראשון לציון
50262,מודי יבוא ושווק קרמיקה בעמ  ( כפר מלל),111,הלחי 31,NULL,כפר מלל,NULL,בני ברק
50065,מולטי ריטייל גרופ בעמ - רחובות בילו סניף 51,123,גליס 9 צומת סגולה,NULL,"""ביל""""ו סנטר קרית עקרון""",מייל בירור הזמנות,פתח תקווה
70007,נלה ביטון,107,בר אילן 14 דירה 11,NULL,NULL,NULL,רמלה
50415,שיש ציוטלי בעמ,109,( ת.ד 10509),26119,שד ההסתדרות 198,ציוטלי ת.משלוח,מפרץ חיפה
50057,א . ישראלי,103,הרצל 67,6655203,הרצל 67,NULL,"ת""א"
50541,חבוש בעמ,117,א.ת קדימה 14599,6092000,פנחס לבון 18,NULL,נתניה
50296,ניסים פרג'ון מסחר 2000 נ.פ בעמ,117,הפלדה 11 א.ת הישן,NULL,נתניה,"מייל תמ""ש",נתניה
50591,קבוצת המרכז אבייט בעמ -אריחים,103,א.תעשיה חצור הגלילית,NULL,א.תעשיה חצור הגלילית,בעל העסק,חצור הגלילית
